0,1,2,3,4
sht,FBgn0003400,2R,12845544,12846596
shy,FBgn0003403,2R,12845544,12846596
Si,FBgn0003404,2R,12845544,12846596
si3,FBgn0003405,2R,12845544,12846596
sic,FBgn0003406,2R,12845544,12846596
sie,FBgn0003407,2R,12845544,12846596
Sil,FBgn0003408,2R,12845544,12846596
siw,FBgn0003413,2R,12845544,12846596
sla,FBgn0003418,2R,12845544,12846596
slb,FBgn0003419,2R,12845544,12846596
slc,FBgn0003420,2R,12845544,12846596
sld,FBgn0003421,2R,12845544,12846596
slgB,FBgn0003424,2R,12845544,12846596
slip,FBgn0003426,2R,12845544,12846596
slrp,FBgn0003431,2R,12845544,12846596
slt,FBgn0003433,2R,12845544,12846596
slw,FBgn0003434,2R,12845544,12846596
sma,FBgn0003436,2R,12845544,12846596
smd,FBgn0003438,2R,12845544,12846596
smh,FBgn0003440,2R,12845544,12846596
smk,FBgn0003441,2R,12845544,12846596
sml,FBgn0003442,2R,12845544,12846596
smp,FBgn0003445,2R,12845544,12846596
smt,FBgn0003446,2R,12845544,12846596
snl,FBgn0003451,2R,12845544,12846596
som,FBgn0003465,2R,12845544,12846596
sp,FBgn0003466,2R,12845544,12846596
sph,FBgn0003473,2R,12845544,12846596
Spl,FBgn0003476,2R,12845544,12846596
splw,FBgn0003478,2R,12845544,12846596
spot,FBgn0003487,2R,12845544,12846596
sprd,FBgn0003489,2R,12845544,12846596
sps,FBgn0003491,2R,12845544,12846596
spw,FBgn0003493,2R,12845544,12846596
Sq,FBgn0003497,2R,12845544,12846596
srb,FBgn0003500,2R,12845544,12846596
srd,FBgn0003503,2R,12845544,12846596
Srf,FBgn0003505,2R,12845544,12846596
stb,FBgn0003521,2R,12845544,12846596
std,FBgn0003522,2R,12845544,12846596
Ste,FBgn0003523,2R,12845544,12846596
stf,FBgn0003524,2R,12845544,12846596
sth,FBgn0003526,2R,12845544,12846596
stmB,FBgn0003531,2R,12845544,12846596
stmC,FBgn0003532,2R,12845544,12846596
sto,FBgn0003534,2R,12845544,12846596
stop,FBgn0003535,2R,12845544,12846596
stp,FBgn0003536,2R,12845544,12846596
Stp-1,FBgn0003537,2R,12845544,12846596
Stp-2,FBgn0003538,2R,12845544,12846596
Str,FBgn0003539,2R,12845544,12846596
sts,FBgn0003540,2R,12845544,12846596
stt,FBgn0003542,2R,12845544,12846596
stu,FBgn0003543,2R,12845544,12846596
su(b),FBgn0003546,2R,12845544,12846596
su(B)4,FBgn0003549,2R,12845544,12846596
Suc,FBgn0003550,2R,12845544,12846596
su(Cbx),FBgn0003551,2R,12845544,12846596
Su(crc),FBgn0003553,2R,12845544,12846596
Su(Cy),FBgn0003554,2R,12845544,12846596
Su(er),FBgn0003558,2R,12845544,12846596
Su(Gl)27,FBgn0003563,2R,12845544,12846596
Su(Gl)57,FBgn0003564,2R,12845544,12846596
su(lz[34]),FBgn0003568,2R,12845544,12846596
supact,FBgn0003569,2R,12845544,12846596
Su(par),FBgn0003570,2R,12845544,12846596
Su(Pc)37D,FBgn0003571,2R,12845544,12846596
su(pd),FBgn0003572,2R,12845544,12846596
su(pr),FBgn0003573,2R,12845544,12846596
Su(S),FBgn0003576,2R,12845544,12846596
Su(sc),FBgn0003578,2R,12845544,12846596
Su(SD)X,FBgn0003579,2R,12845544,12846596
Su(sph),FBgn0003580,2R,12845544,12846596
Su(ss),FBgn0003581,2R,12845544,12846596
Su(Ste),FBgn0003582,2R,12845544,12846596
Su(stn),FBgn0003583,2R,12845544,12846596
su(t),FBgn0003584,2R,12845544,12846596
Su(var),FBgn0003585,2R,12845544,12846596
Su(var)2-4,FBgn0003587,2R,12845544,12846596
Su(var)2-8,FBgn0003588,2R,12845544,12846596
Su(var)2-3,FBgn0003590,2R,12845544,12846596
Su(var)2-9,FBgn0003591,2R,12845544,12846596
Su(var)3-2,FBgn0003593,2R,12845544,12846596
Su(var)3-4,FBgn0003595,2R,12845544,12846596
Su(var)3-5,FBgn0003596,2R,12845544,12846596
Su(var)3-8,FBgn0003599,2R,12845544,12846596
Su(var)3-10,FBgn0003601,2R,12845544,12846596
Su(var)3-11,FBgn0003602,2R,12845544,12846596
Su(var)3-12,FBgn0003603,2R,12845544,12846596
Su(var)3-13,FBgn0003604,2R,12845544,12846596
Su(var)3-14,FBgn0003605,2R,12845544,12846596
Su(var)206,FBgn0003608,2R,12845544,12846596
Su(var)209,FBgn0003610,2R,12845544,12846596
Su(var)2-11,FBgn0003613,2R,12845544,12846596
Su(var)2-12,FBgn0003614,2R,12845544,12846596
Su(var)2-37,FBgn0003618,2R,12845544,12846596
Su(var)2-57,FBgn0003619,2R,12845544,12846596
Su(var)2-142,FBgn0003620,2R,12845544,12846596
Su(var)2-144,FBgn0003621,2R,12845544,12846596
Su(var)2-147,FBgn0003622,2R,12845544,12846596
Su(var)302,FBgn0003623,2R,12845544,12846596
Su(var)309,FBgn0003625,2R,12845544,12846596
Su(var)314,FBgn0003626,2R,12845544,12846596
Su(var)316,FBgn0003627,2R,12845544,12846596
Su(var)319,FBgn0003628,2R,12845544,12846596
Su(var)320,FBgn0003629,2R,12845544,12846596
Su(var)323,FBgn0003630,2R,12845544,12846596
Su(var)325,FBgn0003631,2R,12845544,12846596
Su(var)327,FBgn0003633,2R,12845544,12846596
Su(var)330,FBgn0003635,2R,12845544,12846596
su(ve),FBgn0003636,2R,12845544,12846596
su(vg),FBgn0003637,2R,12845544,12846596
Su(w[ch]),FBgn0003639,2R,12845544,12846596
su(w[h]),FBgn0003641,2R,12845544,12846596
Su(y[3P]),FBgn0003643,2R,12845544,12846596
Su(z)4,FBgn0003646,2R,12845544,12846596
Su(z)6,FBgn0003647,2R,12845544,12846596
Su(z)7,FBgn0003648,2R,12845544,12846596
svs,FBgn0003653,2R,12845544,12846596
swy,FBgn0003657,2R,12845544,12846596
tar,FBgn0003665,2R,12845544,12846596
taw,FBgn0003666,2R,12845544,12846596
tbd,FBgn0003669,2R,12845544,12846596
tbl,FBgn0003670,2R,12845544,12846596
tbr,FBgn0003671,2R,12845544,12846596
tc,FBgn0003673,2R,12845544,12846596
Tch,FBgn0003674,2R,12845544,12846596
Tcp,FBgn0003675,2R,12845544,12846596
Tcr,FBgn0003677,2R,12845544,12846596
tdd,FBgn0003678,2R,12845544,12846596
te,FBgn0003679,2R,12845544,12846596
ted,FBgn0003680,2R,12845544,12846596
ten,FBgn0003681,2R,12845544,12846596
ter,FBgn0003682,2R,12845544,12846596
tf,FBgn0003685,2R,12845544,12846596
tfd,FBgn0003686,2R,12845544,12846596
tft,FBgn0003688,2R,12845544,12846596
tha,FBgn0003693,2R,12845544,12846596
Nsun5,FBgn0259704,3R,19160099,19162300
thb,FBgn0003694,3R,19160099,19162300
thi,FBgn0003696,3R,19160099,19162300
thic,FBgn0003697,3R,19160099,19162300
thiv,FBgn0003698,3R,19160099,19162300
thl,FBgn0003699,3R,19160099,19162300
thm,FBgn0003700,3R,19160099,19162300
tht,FBgn0003702,3R,19160099,19162300
thv,FBgn0003703,3R,19160099,19162300
thvd,FBgn0003704,3R,19160099,19162300
ti,FBgn0003705,3R,19160099,19162300
tipA,FBgn0003706,3R,19160099,19162300
TipB,FBgn0003707,3R,19160099,19162300
tipC,FBgn0003708,3R,19160099,19162300
tipD,FBgn0003709,3R,19160099,19162300
tipF,FBgn0003711,3R,19160099,19162300
tkd,FBgn0003713,3R,19160099,19162300
tlc,FBgn0003718,3R,19160099,19162300
tms,FBgn0003725,3R,19160099,19162300
tnt,FBgn0003728,3R,19160099,19162300
tny,FBgn0003729,3R,19160099,19162300
ton,FBgn0003730,3R,19160099,19162300
torp,FBgn0003734,3R,19160099,19162300
tov,FBgn0003735,3R,19160099,19162300
Tpl,FBgn0003739,3R,19160099,19162300
trb,FBgn0003743,3R,19160099,19162300
trd,FBgn0003745,3R,19160099,19162300
tre,FBgn0003746,3R,19160099,19162300
tri,FBgn0003750,3R,19160099,19162300
tt,FBgn0003868,3R,19160099,19162300
tta,FBgn0003869,3R,19160099,19162300
ttr,FBgn0003871,3R,19160099,19162300
ttx,FBgn0003872,3R,19160099,19162300
Tu,FBgn0003873,3R,19160099,19162300
tu(1)53,FBgn0003874,3R,19160099,19162300
tu(1)Sz,FBgn0003875,3R,19160099,19162300
tu(2)48,FBgn0003876,3R,19160099,19162300
tu(2)48j,FBgn0003877,3R,19160099,19162300
tu(2)bw,FBgn0003878,3R,19160099,19162300
tu(2)W,FBgn0003879,3R,19160099,19162300
tu(3)be,FBgn0003880,3R,19160099,19162300
tu(3)C4,FBgn0003881,3R,19160099,19162300
tuh1,FBgn0003893,3R,19160099,19162300
Tul,FBgn0003894,3R,19160099,19162300
tur,FBgn0003897,3R,19160099,19162300
twg,FBgn0003899,3R,19160099,19162300
twl,FBgn0003901,3R,19160099,19162300
Two-b,FBgn0003902,3R,19160099,19162300
twt,FBgn0003903,3R,19160099,19162300
ty,FBgn0003905,3R,19160099,19162300
tyb2,FBgn0003906,3R,19160099,19162300
tyl,FBgn0003907,3R,19160099,19162300
tyr1,FBgn0003910,3R,19160099,19162300
Tyr2,FBgn0003911,3R,19160099,19162300
Tyr3,FBgn0003912,3R,19160099,19162300
tyw,FBgn0003913,3R,19160099,19162300
U,FBgn0003914,3R,19160099,19162300
Udg,FBgn0003945,3R,19160099,19162300
Uf,FBgn0003947,3R,19160099,19162300
un,FBgn0003949,3R,19160099,19162300
uncl,FBgn0003951,3R,19160099,19162300
ung,FBgn0003952,3R,19160099,19162300
unp,FBgn0003953,3R,19160099,19162300
ups,FBgn0003957,3R,19160099,19162300
upt,FBgn0003958,3R,19160099,19162300
upw,FBgn0003959,3R,19160099,19162300
urd,FBgn0003960,3R,19160099,19162300
us,FBgn0003962,3R,19160099,19162300
vac,FBgn0003966,3R,19160099,19162300
vam,FBgn0003967,3R,19160099,19162300
vao,FBgn0003968,3R,19160099,19162300
vb,FBgn0003971,3R,19160099,19162300
ven,FBgn0003973,3R,19160099,19162300
vin,FBgn0003976,3R,19160099,19162300
vnl,FBgn0003987,3R,19160099,19162300
Vno,FBgn0003988,3R,19160099,19162300
vr,FBgn0003989,3R,19160099,19162300
vs,FBgn0003990,3R,19160099,19162300
vss,FBgn0003991,3R,19160099,19162300
vst,FBgn0003992,3R,19160099,19162300
vtw,FBgn0003994,3R,19160099,19162300
wa,FBgn0003999,3R,19160099,19162300
wd,FBgn0004004,3R,19160099,19162300
wdl,FBgn0004005,3R,19160099,19162300
we,FBgn0004007,3R,19160099,19162300
wgo,FBgn0004010,3R,19160099,19162300
wgv,FBgn0004011,3R,19160099,19162300
whh,FBgn0004013,3R,19160099,19162300
wi,FBgn0004014,3R,19160099,19162300
with,FBgn0004015,3R,19160099,19162300
wk,FBgn0004016,3R,19160099,19162300
wl,FBgn0004017,3R,19160099,19162300
wo,FBgn0004018,3R,19160099,19162300
wobA,FBgn0004019,3R,19160099,19162300
wobB,FBgn0004020,3R,19160099,19162300
wp,FBgn0004021,3R,19160099,19162300
Wr,FBgn0004022,3R,19160099,19162300
wrl,FBgn0004023,3R,19160099,19162300
ws,FBgn0004024,3R,19160099,19162300
wt,FBgn0004025,3R,19160099,19162300
wtl,FBgn0004026,3R,19160099,19162300
wtw,FBgn0004027,3R,19160099,19162300
ww,FBgn0004029,3R,19160099,19162300
wx,FBgn0004030,3R,19160099,19162300
wz,FBgn0004032,3R,19160099,19162300
xwh,FBgn0004033,3R,19160099,19162300
yea1,FBgn0004035,3R,19160099,19162300
yea2,FBgn0004036,3R,19160099,19162300
yea3,FBgn0004037,3R,19160099,19162300
yea4,FBgn0004038,3R,19160099,19162300
yea5,FBgn0004039,3R,19160099,19162300
yea6,FBgn0004040,3R,19160099,19162300
yea7,FBgn0004041,3R,19160099,19162300
olfF,FBgn0004058,3R,19160099,19162300
bip,FBgn0004061,3R,19160099,19162300
blt,FBgn0004062,3R,19160099,19162300
cwi,FBgn0004063,3R,19160099,19162300
Bsg95C,FBgn0004064,3R,19160099,19162300
Gsg71A,FBgn0004065,3R,19160099,19162300
fs(2)mel1,FBgn0004067,3R,19160099,19162300
fs(2)mel2,FBgn0004068,3R,19160099,19162300
fs(2)mel3,FBgn0004069,3R,19160099,19162300
fs(2)mel4,FBgn0004070,3R,19160099,19162300
fs(2)mel5,FBgn0004071,3R,19160099,19162300
fs(2)mel6,FBgn0004072,3R,19160099,19162300
fs(2)mel7,FBgn0004073,3R,19160099,19162300
ovt,FBgn0004074,3R,19160099,19162300
ms(2)35Eb,FBgn0004075,3R,19160099,19162300
segB,FBgn0004076,3R,19160099,19162300
XDm,FBgn0004081,3R,19160099,19162300
Y-seqs,FBgn0004083,3R,19160099,19162300
alphagamma-element,FBgn0004084,3R,19160099,19162300
Ec3,FBgn0004085,3R,19160099,19162300
l(2)60Ca,FBgn0004090,3R,19160099,19162300
l(2)60Cc,FBgn0004091,3R,19160099,19162300
l(2)60Cd,FBgn0004092,3R,19160099,19162300
l(2)60Da,FBgn0004093,3R,19160099,19162300
l(2)60Db,FBgn0004094,3R,19160099,19162300
l(2)60Dc,FBgn0004095,3R,19160099,19162300
l(2)60Dd,FBgn0004096,3R,19160099,19162300
l(2)60De,FBgn0004097,3R,19160099,19162300
l(2)60Df,FBgn0004098,3R,19160099,19162300
l(2)60Dg,FBgn0004099,3R,19160099,19162300
l(2)60Cb,FBgn0004100,3R,19160099,19162300
flrd393,FBgn0004105,3R,19160099,19162300
opa-e,FBgn0004111,3R,19160099,19162300
Su(var)303,FBgn0004114,3R,19160099,19162300
Su(var)311,FBgn0004115,3R,19160099,19162300
l(2)43Ba,FBgn0004122,3R,19160099,19162300
l(2)43Bb,FBgn0004123,3R,19160099,19162300
l(2)43Bd,FBgn0004125,3R,19160099,19162300
hum,FBgn0004126,3R,19160099,19162300
l(2)43Cb,FBgn0004128,3R,19160099,19162300
l(2)43Cc,FBgn0004129,3R,19160099,19162300
l(2)43Da,FBgn0004130,3R,19160099,19162300
l(2)43Db,FBgn0004131,3R,19160099,19162300
l(2)43Ef,FBgn0004137,3R,19160099,19162300
l(2)43Eg,FBgn0004138,3R,19160099,19162300
l(2)43Eh,FBgn0004139,3R,19160099,19162300
fs(2)43Ei,FBgn0004140,3R,19160099,19162300
GATA-sequence,FBgn0004142,3R,19160099,19162300
l(2)57Aa,FBgn0004147,3R,19160099,19162300
l(2)57Ab,FBgn0004148,3R,19160099,19162300
l(2)57Ac,FBgn0004149,3R,19160099,19162300
l(2)57Ad,FBgn0004150,3R,19160099,19162300
l(2)57Ae,FBgn0004151,3R,19160099,19162300
l(2)57Af,FBgn0004152,3R,19160099,19162300
l(2)57Ag,FBgn0004153,3R,19160099,19162300
l(2)51Da,FBgn0004154,3R,19160099,19162300
l(2)51Db,FBgn0004155,3R,19160099,19162300
l(2)51Dc,FBgn0004156,3R,19160099,19162300
l(2)Ta,FBgn0004157,3R,19160099,19162300
l(2)51Eb,FBgn0004159,3R,19160099,19162300
fs(2)sun,FBgn0004164,3R,19160099,19162300
l(2)51F,FBgn0004165,3R,19160099,19162300
l(2)52AD,FBgn0004166,3R,19160099,19162300
snRNA:U1:82Ea,FBgn0004182,3R,19160099,19162300
snRNA:U1:82Ec,FBgn0004184,3R,19160099,19162300
l(3)84Da,FBgn0004199,3R,19160099,19162300
l(3)84Db,FBgn0004200,3R,19160099,19162300
l(3)84Dc,FBgn0004201,3R,19160099,19162300
l(3)84Dd,FBgn0004202,3R,19160099,19162300
l(3)84Ea,FBgn0004203,3R,19160099,19162300
l(3)84Eb,FBgn0004204,3R,19160099,19162300
l(3)84Ec,FBgn0004205,3R,19160099,19162300
l(3)84Ed,FBgn0004206,3R,19160099,19162300
l(3)84Ee,FBgn0004207,3R,19160099,19162300
l(3)84Ef,FBgn0004208,3R,19160099,19162300
l(3)84Eg,FBgn0004209,3R,19160099,19162300
l(3)84Ei,FBgn0004211,3R,19160099,19162300
l(3)84Fb,FBgn0004214,3R,19160099,19162300
l(3)84Fc,FBgn0004215,3R,19160099,19162300
l(3)84Fd,FBgn0004216,3R,19160099,19162300
l(3)84Fe,FBgn0004217,3R,19160099,19162300
l(3)84Fh,FBgn0004220,3R,19160099,19162300
l(3)84Fj,FBgn0004222,3R,19160099,19162300
l(3)84Fk,FBgn0004223,3R,19160099,19162300
l(3)84Fl,FBgn0004224,3R,19160099,19162300
l(3)84Fm,FBgn0004225,3R,19160099,19162300
l(3)93Bc,FBgn0004229,3R,19160099,19162300
l(3)93Bd,FBgn0004230,3R,19160099,19162300
l(3)93Be,FBgn0004231,3R,19160099,19162300
l(3)93Bf,FBgn0004232,3R,19160099,19162300
l(3)93Bg,FBgn0004233,3R,19160099,19162300
l(3)93Bh,FBgn0004234,3R,19160099,19162300
Datp,FBgn0004402,3R,19160099,19162300
tnk,FBgn0004408,3R,19160099,19162300
het-rep1,FBgn0004409,3R,19160099,19162300
het-rep2,FBgn0004410,3R,19160099,19162300
het-rep3,FBgn0004411,3R,19160099,19162300
gustA,FBgn0004421,3R,19160099,19162300
gustC,FBgn0004422,3R,19160099,19162300
gustD,FBgn0004423,3R,19160099,19162300
pmst,FBgn0004437,3R,19160099,19162300
DebC,FBgn0004455,3R,19160099,19162300
apo,FBgn0004472,3R,19160099,19162300
ant,FBgn0004473,3R,19160099,19162300
art,FBgn0004475,3R,19160099,19162300
Exh,FBgn0004476,3R,19160099,19162300
l(1)air1,FBgn0004477,3R,19160099,19162300
l(1)air2,FBgn0004478,3R,19160099,19162300
l(1)air3,FBgn0004479,3R,19160099,19162300
l(1)air5,FBgn0004480,3R,19160099,19162300
l(1)air6,FBgn0004481,3R,19160099,19162300
l(1)air9,FBgn0004482,3R,19160099,19162300
l(1)air10,FBgn0004483,3R,19160099,19162300
l(1)air11,FBgn0004484,3R,19160099,19162300
l(1)air12,FBgn0004485,3R,19160099,19162300
l(1)air13,FBgn0004486,3R,19160099,19162300
l(1)air14,FBgn0004487,3R,19160099,19162300
l(1)air15,FBgn0004488,3R,19160099,19162300
DhpO,FBgn0004492,3R,19160099,19162300
exb,FBgn0004495,3R,19160099,19162300
fs(1)201,FBgn0004496,3R,19160099,19162300
fs(1)gammab3,FBgn0004497,3R,19160099,19162300
fs(1)gammab4,FBgn0004498,3R,19160099,19162300
fs(1)2448,FBgn0004499,3R,19160099,19162300
fs(1)B4,FBgn0004500,3R,19160099,19162300
fs(1)gammaa6,FBgn0004501,3R,19160099,19162300
fs(1)gammaa7,FBgn0004502,3R,19160099,19162300
fs(1)gammaa8,FBgn0004503,3R,19160099,19162300
fs(1)A5,FBgn0004505,3R,19160099,19162300
fs(1)K4,FBgn0004506,3R,19160099,19162300
CR,FBgn0004515,3R,19160099,19162300
l(4)102ABd,FBgn0004517,3R,19160099,19162300
l(4)102CDc,FBgn0004519,3R,19160099,19162300
l(4)102CDd,FBgn0004520,3R,19160099,19162300
l(4)102CDe,FBgn0004521,3R,19160099,19162300
l(4)102CDf,FBgn0004522,3R,19160099,19162300
l(4)102EFa,FBgn0004524,3R,19160099,19162300
l(4)102CDi,FBgn0004526,3R,19160099,19162300
l(4)102CDj,FBgn0004527,3R,19160099,19162300
l(4)102ABe,FBgn0004528,3R,19160099,19162300
l(4)102CDk,FBgn0004529,3R,19160099,19162300
l(4)102CDl,FBgn0004530,3R,19160099,19162300
l(4)102CDb,FBgn0004531,3R,19160099,19162300
l(4)102ABh,FBgn0004532,3R,19160099,19162300
l(4)102ABf,FBgn0004534,3R,19160099,19162300
l(4)102ABg,FBgn0004535,3R,19160099,19162300
l(4)102ABi,FBgn0004536,3R,19160099,19162300
l(4)102EFf,FBgn0004538,3R,19160099,19162300
l(4)102EFd,FBgn0004540,3R,19160099,19162300
l(4)102CDm,FBgn0004542,3R,19160099,19162300
l(4)102CDn,FBgn0004543,3R,19160099,19162300
l(4)102CDo,FBgn0004544,3R,19160099,19162300
l(4)102CDp,FBgn0004545,3R,19160099,19162300
l(4)102CDq,FBgn0004546,3R,19160099,19162300
l(4)102CDt,FBgn0004548,3R,19160099,19162300
l(4)102CDu,FBgn0004549,3R,19160099,19162300
l(4)102CDv,FBgn0004550,3R,19160099,19162300
Su(var)208,FBgn0004557,3R,19160099,19162300
Su(var)307,FBgn0004558,3R,19160099,19162300
Su(var)308,FBgn0004559,3R,19160099,19162300
Su(var)321,FBgn0004561,3R,19160099,19162300
l(3)63Bi,FBgn0004563,3R,19160099,19162300
l(3)63Bh,FBgn0004564,3R,19160099,19162300
l(3)63Da,FBgn0004565,3R,19160099,19162300
blnd,FBgn0004570,3R,19160099,19162300
Pig2,FBgn0004576,3R,19160099,19162300
l(3)hem,FBgn0004578,3R,19160099,19162300
fur,FBgn0004608,3R,19160099,19162300
NaDg,FBgn0004609,3R,19160099,19162300
NaDh,FBgn0004610,3R,19160099,19162300
Adv,FBgn0004614,3R,19160099,19162300
l(2)hs,FBgn0004621,3R,19160099,19162300
CabP23,FBgn0004628,3R,19160099,19162300
CAT-repeat,FBgn0004633,3R,19160099,19162300
E(sev)3D,FBgn0004641,3R,19160099,19162300
Fs(2)M,FBgn0004651,3R,19160099,19162300
Fs(1)10A,FBgn0004653,3R,19160099,19162300
l(2)41Ae,FBgn0004660,3R,19160099,19162300
mbd,FBgn0004662,3R,19160099,19162300
ms(1)10A,FBgn0004663,3R,19160099,19162300
ms(3)HO5A,FBgn0004664,3R,19160099,19162300
ms(3)HO5B,FBgn0004665,3R,19160099,19162300
Bsg99D,FBgn0004668,3R,19160099,19162300
dlg2,FBgn0004673,3R,19160099,19162300
dv2,FBgn0004674,3R,19160099,19162300
E(A[53g]),FBgn0004675,3R,19160099,19162300
e(fa[swb]),FBgn0004677,3R,19160099,19162300
E(lz),FBgn0004678,3R,19160099,19162300
Esm,FBgn0004679,3R,19160099,19162300
fb,FBgn0004680,3R,19160099,19162300
grg,FBgn0004682,3R,19160099,19162300
Ifm(2)11,FBgn0004683,3R,19160099,19162300
ju,FBgn0004684,3R,19160099,19162300
l(1)Mc51,FBgn0004685,3R,19160099,19162300
mei-I1,FBgn0004686,3R,19160099,19162300
pby,FBgn0004688,3R,19160099,19162300
ptd,FBgn0004690,3R,19160099,19162300
rss,FBgn0004691,3R,19160099,19162300
Sgs9,FBgn0004692,3R,19160099,19162300
Snb,FBgn0004693,3R,19160099,19162300
Su(var)2-2,FBgn0004694,3R,19160099,19162300
vt,FBgn0004696,3R,19160099,19162300
wapm,FBgn0004697,3R,19160099,19162300
l(2)56Fb,FBgn0004701,3R,19160099,19162300
l(2)56Fd,FBgn0004702,3R,19160099,19162300
l(2)56Fe,FBgn0004703,3R,19160099,19162300
l(2)56Ff,FBgn0004704,3R,19160099,19162300
l(2)56Fg,FBgn0004705,3R,19160099,19162300
ads,FBgn0004719,3R,19160099,19162300
l(3)85Da,FBgn0004734,3R,19160099,19162300
l(3)85Db,FBgn0004735,3R,19160099,19162300
l(3)85Dc,FBgn0004736,3R,19160099,19162300
l(3)85Dd,FBgn0004737,3R,19160099,19162300
l(3)85De,FBgn0004738,3R,19160099,19162300
l(3)85Df,FBgn0004739,3R,19160099,19162300
l(3)85Dg,FBgn0004740,3R,19160099,19162300
l(3)85Dh,FBgn0004741,3R,19160099,19162300
l(3)85Di,FBgn0004742,3R,19160099,19162300
l(3)85Dj,FBgn0004743,3R,19160099,19162300
l(3)85Fa,FBgn0004744,3R,19160099,19162300
l(3)85Fb,FBgn0004745,3R,19160099,19162300
l(3)85Fc,FBgn0004746,3R,19160099,19162300
l(3)85Fd,FBgn0004747,3R,19160099,19162300
l(3)89Ba,FBgn0004748,3R,19160099,19162300
l(3)89Bb,FBgn0004749,3R,19160099,19162300
l(3)89Bc,FBgn0004750,3R,19160099,19162300
l(3)89Bd,FBgn0004751,3R,19160099,19162300
l(3)89Be,FBgn0004752,3R,19160099,19162300
l(3)89Bf,FBgn0004753,3R,19160099,19162300
l(3)89Bg,FBgn0004754,3R,19160099,19162300
l(3)89Bh,FBgn0004755,3R,19160099,19162300
l(3)89Bi,FBgn0004756,3R,19160099,19162300
l(3)89Bj,FBgn0004757,3R,19160099,19162300
l(3)89Bk,FBgn0004758,3R,19160099,19162300
l(3)89Bl,FBgn0004759,3R,19160099,19162300
l(3)89Ca,FBgn0004760,3R,19160099,19162300
l(3)89Cb,FBgn0004761,3R,19160099,19162300
l(3)89Cc,FBgn0004762,3R,19160099,19162300
l(3)89Cd,FBgn0004763,3R,19160099,19162300
l(3)89Da,FBgn0004764,3R,19160099,19162300
l(3)89Db,FBgn0004765,3R,19160099,19162300
l(3)89Dc,FBgn0004766,3R,19160099,19162300
l(3)89Ef,FBgn0004767,3R,19160099,19162300
l(3)89Eg,FBgn0004768,3R,19160099,19162300
l(3)89Eh,FBgn0004769,3R,19160099,19162300
l(3)89Ei,FBgn0004770,3R,19160099,19162300
l(3)89Ej,FBgn0004771,3R,19160099,19162300
l(3)91Ca,FBgn0004772,3R,19160099,19162300
l(3)91Cb,FBgn0004773,3R,19160099,19162300
anon-g,FBgn0004785,3R,19160099,19162300
anon-h,FBgn0004787,3R,19160099,19162300
Indnc,FBgn0004789,3R,19160099,19162300
ray,FBgn0004791,3R,19160099,19162300
crpe,FBgn0004793,3R,19160099,19162300
war,FBgn0004794,3R,19160099,19162300
mln,FBgn0004796,3R,19160099,19162300
fs(2)ltoHE41,FBgn0004799,3R,19160099,19162300
fs(2)ltoQZ47,FBgn0004800,3R,19160099,19162300
fs(2)ltoRG3,FBgn0004801,3R,19160099,19162300
fs(2)ltoWi42,FBgn0004803,3R,19160099,19162300
fs(2)ltoRV64,FBgn0004806,3R,19160099,19162300
fs(2)ltoAHE1,FBgn0004807,3R,19160099,19162300
fs(2)ltoHL22,FBgn0004808,3R,19160099,19162300
fs(2)ltoHM11,FBgn0004813,3R,19160099,19162300
fs(2)ltoRN73,FBgn0004815,3R,19160099,19162300
fs(2)ltoRU26,FBgn0004816,3R,19160099,19162300
fs(2)ltoAHK35,FBgn0004817,3R,19160099,19162300
fs(2)ltoDC37,FBgn0004818,3R,19160099,19162300
fs(2)ltoDG25,FBgn0004819,3R,19160099,19162300
fs(2)ltoRM7,FBgn0004821,3R,19160099,19162300
fs(2)ltoAPV63,FBgn0004823,3R,19160099,19162300
fs(2)ltoPI23,FBgn0004824,3R,19160099,19162300
fs(2)ltoQE45,FBgn0004825,3R,19160099,19162300
fs(2)ltoHC44,FBgn0004826,3R,19160099,19162300
fir,FBgn0004829,3R,19160099,19162300
Zhr,FBgn0004840,3R,19160099,19162300
l(3)88Bb,FBgn0004844,3R,19160099,19162300
l(3)88Bc,FBgn0004845,3R,19160099,19162300
l(3)88Bd,FBgn0004846,3R,19160099,19162300
Su(var)2-1,FBgn0004849,3R,19160099,19162300
Su(var)204,FBgn0004850,3R,19160099,19162300
elA,FBgn0004857,3R,19160099,19162300
l(3)62Cb,FBgn0004869,3R,19160099,19162300
bwk,FBgn0004884,3R,19160099,19162300
Lrr70C,FBgn0004902,3R,19160099,19162300
rls,FBgn0004917,3R,19160099,19162300
spk,FBgn0004918,3R,19160099,19162300
l(3)dco2,FBgn0004927,3R,19160099,19162300
l(3)mbn2,FBgn0004928,3R,19160099,19162300
A-p,FBgn0004929,3R,19160099,19162300
a(1)48,FBgn0004930,3R,19160099,19162300
a(1)HM26,FBgn0004931,3R,19160099,19162300
a(1)HM27,FBgn0004932,3R,19160099,19162300
a(2)48,FBgn0004933,3R,19160099,19162300
a(3)48,FBgn0004934,3R,19160099,19162300
ABO-2R,FBgn0004936,3R,19160099,19162300
ABO-X,FBgn0004937,3R,19160099,19162300
ABO-YL,FBgn0004938,3R,19160099,19162300
ABO-YS,FBgn0004939,3R,19160099,19162300
AcpA,FBgn0004942,3R,19160099,19162300
agl,FBgn0004943,3R,19160099,19162300
agq,FBgn0004944,3R,19160099,19162300
